V1 V2 V3
17 0 0
23 0 0
16 1 0
13 0 0
21 0 0
17 1 1
21 1 0
19 0 0
13 0 1
25 0 0
19 1 0
12 1 0
6 1 0
17 0 0
11 0 0
17 1 0
21 1 1
17 0 0
10 0 0
16 1 0
8 1 0
20 1 0
22 0 0
14 0 0
20 0 0
6 1 0
14 0 0
17 0 0
17 2 0
17 2 0
10 0 0
17 2 0
8 0 0
18 0 0
19 0 0
19 0 0
12 1 0
7 0 0
V1 V2 V3
19 1 0
18 0 0
9 0 0
12 1 0
17 0 0
19 0 0
7 0 0
22 0 0
23 1 1
25 0 0
13 0 1
9 2 0
15 0 0
24 0 0
12 1 0
13 0 0
14 0 2
14 0 0
25 0 2
24 3 0
21 0 0
14 0 0
23 0 0
13 0 0
15 0 0
21 1 0
19 0 0
11 0 0
8 0 0
22 0 1
18 2 0
21 1 1
13 0 0
8 0 0
12 0 1
16 1 0
17 1 0
9 0 0
19 0 0
13 0 0
13 1 1
23 1 1
18 0 0
20 0 0
4 0 0
16 1 0
4 0 0
6 0 0
5 0 0
17 0 0
13 0 0
22 0 0
12 1 1
10 0 0
13 1 0
22 1 2
9 0 1
14 1 0
19 0 1
10 0 0
11 0 0
17 1 0
21 1 1
17 0 0
10 0 0
25 1 1
21 1 0
3 0 0
22 1 0
20 1 0
17 0 0
21 0 2
8 0 0
7 0 0
9 0 0
19 0 0
21 1 0
5 0 0
11 0 0
12 0 0
19 1 0
12 0 0
12 1 0
23 0 1
10 1 0
21 0 1
19 0 0
18 1 1
14 1 1
21 2 0
10 0 0
5 0 0
12 0 0
20 0 2
15 1 0
13 0 4
10 1 1
14 0 0
7 0 0
21 0 0
18 0 0
13 0 1
14 2 0
18 0 0
17 2 0
28 2 1
8 0 1
11 0 0
12 0 0
19 1 0
21 0 0
24 0 1
17 0 0
17 0 0
20 0 0
12 0 2
17 2 0
18 0 1
12 0 0
13 0 1
16 1 0
20 1 1
12 0 1
7 0 0
6 0 0
14 1 0
22 0 1
3 0 0
19 1 1
9 1 0
21 0 1
13 0 1
11 1 0
10 1 2
9 0 1
9 0 0
10 0 0
18 0 1
10 0 0
17 2 0
7 0 1
11 0 0
28 1 1
16 0 0
17 1 1
26 0 0
17 0 0
11 0 0
13 0 3
21 1 3
17 0 1
9 0 0
19 0 0
16 1 2
22 1 0
12 2 1
14 0 0
12 0 0
13 0 1
20 0 0
4 0 0
