V1 V2 V3
22 0 0
10 0 0
17 0 1
20 0 2
7 0 0
17 0 4
14 0 0
18 1 0
23 1 0
24 0 0
29 1 2
7 0 1
4 1 0
16 0 0
16 0 1
10 1 0
12 0 0
5 0 0
6 0 0
14 1 0
4 0 1
20 0 0
20 0 0
21 1 1
20 1 0
9 0 0
22 0 2
17 0 0
8 0 1
8 0 0
27 1 3
13 0 0
5 0 0
21 0 0
11 2 0
10 0 0
18 0 1
17 0 0
17 0 0
21 1 0
11 0 0
16 0 0
21 0 0
17 3 0
22 0 0
14 0 2
16 0 1
22 0 1
9 1 0
24 0 0
23 0 1
9 0 0
24 0 3
13 0 0
17 0 0
24 0 1
22 0 1
26 0 0
20 0 1
19 0 1
7 0 0
10 0 1
19 2 0
19 0 1
9 0 0
13 0 0
6 0 0
25 1 0
3 0 0
12 1 1
10 1 1
4 0 0
22 1 0
12 0 1
18 0 1
4 0 0
22 0 0
11 0 0
22 0 0
25 0 1
4 0 0
14 1 1
19 2 0
20 1 2
24 0 0
12 0 0
15 0 0
13 1 0
13 1 0
19 0 0
17 2 0
3 0 0
20 1 0
14 0 0
8 0 0
22 2 0
13 0 0
13 0 0
14 0 0
7 0 1
8 0 0
16 2 1
2 0 0
15 1 1
20 0 0
22 0 1
9 0 0
4 0 0
6 0 1
17 1 0
11 0 1
8 2 0
8 1 0
7 1 0
11 0 0
22 1 0
5 1 0
21 3 0
5 0 0
12 0 0
22 2 0
20 3 0
8 0 0
6 0 0
5 0 0
18 0 1
7 0 0
13 1 0
11 0 1
24 1 1
24 0 2
20 0 1
19 0 0
17 0 0
20 0 0
21 2 0
23 0 1
3 0 0
20 1 1
14 3 0
9 0 0
11 0 0
23 1 0
22 0 2
21 3 0
13 1 0
20 1 1
15 0 1
19 0 0
12 1 0
6 0 0
15 0 0
7 0 0
6 0 0
22 1 0
12 0 0
