V1 V2 V3
11 0 0
15 0 0
6 0 0
19 0 0
23 0 0
12 0 0
12 0 0
21 0 0
15 1 1
21 0 0
7 0 0
21 2 0
12 2 1
29 0 1
4 1 0
21 0 0
25 0 1
4 0 0
22 1 0
7 0 0
12 0 0
13 1 1
22 1 3
22 0 0
8 0 0
20 0 0
13 2 0
21 0 1
17 0 0
11 1 1
7 0 0
9 0 0
8 1 1
11 0 0
22 1 0
2 0 0
6 0 0
19 0 0
22 1 0
6 0 0
15 1 0
16 1 2
23 1 0
18 0 1
10 0 0
11 0 0
13 1 0
16 0 0
22 0 1
24 0 0
6 0 0
16 1 0
24 0 1
21 0 0
11 1 1
4 0 0
14 0 0
23 0 0
19 1 0
11 0 1
6 0 0
8 0 0
14 0 0
18 0 0
10 0 0
12 0 1
14 0 2
14 1 0
17 0 1
13 2 0
6 0 1
16 1 0
10 0 0
14 0 1
8 0 0
19 2 0
26 0 2
9 0 0
8 1 0
8 0 0
4 0 0
23 2 0
20 0 0
17 1 0
21 2 2
6 1 0
7 0 0
24 0 0
14 0 1
23 0 2
24 1 2
25 1 0
17 1 0
19 2 0
21 2 1
18 0 0
9 0 0
7 0 0
6 0 1
15 0 0
16 0 1
23 0 0
9 0 1
23 0 1
3 0 0
25 2 1
23 0 0
24 2 0
12 1 0
14 0 0
7 0 0
24 1 0
17 1 1
21 1 0
18 3 1
7 0 1
18 0 0
6 1 0
4 0 0
20 2 0
3 0 0
25 0 0
20 1 0
10 0 0
10 0 0
9 1 0
19 1 0
19 4 0
10 0 1
8 0 0
14 1 0
9 0 0
14 0 0
22 0 1
24 0 0
3 0 0
4 0 0
16 1 0
7 0 0
19 0 0
15 1 3
17 0 0
23 0 0
6 1 0
9 1 1
9 0 0
8 1 0
10 1 0
20 0 0
17 1 0
6 1 0
21 1 1
8 0 0
10 1 0
24 0 1
24 1 2
8 0 0
22 0 0
10 0 1
19 0 0
22 0 1
14 0 0
13 1 0
4 0 0
27 0 1
20 0 0
14 0 1
10 0 1
22 2 2
20 1 0
13 0 1
19 0 1
7 0 0
20 1 0
24 1 1
23 1 0
16 1 0
9 1 0
18 0 0
20 0 2
17 0 0
15 0 0
11 0 0
14 0 1
6 0 0
12 1 0
19 0 0
9 0 0
10 0 0
23 0 1
10 0 0
7 0 0
7 0 0
5 0 0
21 0 0
16 1 0
13 0 1
23 1 0
10 0 0
8 0 0
6 0 0
7 0 1
17 0 0
22 0 2
13 0 1
8 1 1
11 0 0
12 1 0
16 0 1
23 0 1
6 0 0
23 2 1
4 0 0
9 0 1
22 1 1
27 0 2
9 0 0
25 0 2
21 0 2
9 0 0
12 0 0
27 1 4
23 0 1
7 0 0
5 0 0
26 1 0
11 0 0
4 0 0
8 1 0
28 1 2
9 0 0
10 0 0
11 0 0
3 1 0
20 0 0
4 0 0
20 0 1
20 1 0
10 0 0
3 0 1
13 0 0
8 0 0
13 0 0
21 0 0
13 0 2
6 1 1
2 0 0
22 1 0
16 0 0
16 2 0
9 0 0
11 0 0
15 1 0
13 0 1
19 2 0
21 0 0
5 0 0
23 0 0
11 0 0
24 0 0
7 0 0
5 0 0
18 1 0
16 0 0
12 0 0
18 0 0
17 1 0
9 0 0
18 0 0
21 0 0
15 1 0
14 1 0
13 0 0
14 0 3
7 1 0
14 0 0
8 1 0
25 0 0
14 0 0
18 1 1
9 0 0
12 1 0
19 0 0
17 1 0
23 1 0
19 0 0
12 1 0
7 1 1
15 3 0
21 1 1
13 0 0
20 1 0
11 0 1
20 1 1
22 0 1
23 1 1
16 0 1
11 0 0
16 2 0
10 0 0
5 0 0
14 1 0
18 0 1
14 0 1
14 1 1
