V1 V2 V3
7 0 0
17 1 0
19 0 0
23 3 0
8 1 0
14 1 0
11 0 0
4 0 0
14 0 0
18 0 0
24 0 0
14 0 0
13 0 0
18 0 0
15 1 0
9 1 0
13 0 1
17 3 0
21 2 0
12 1 0
12 0 0
23 0 0
9 1 0
22 0 0
16 0 0
18 0 1
5 0 0
24 0 1
20 0 0
20 0 0
10 0 1
15 2 1
15 1 0
9 0 0
6 0 0
5 0 0
21 0 0
13 0 0
12 0 1
19 0 0
17 1 0
20 0 0
6 0 0
20 1 0
11 0 0
14 0 1
5 0 0
18 0 0
15 2 0
10 0 0
15 0 0
17 2 0
16 0 0
17 0 0
12 1 0
13 1 0
21 0 0
22 1 1
13 0 0
20 0 0
5 0 0
17 1 0
21 1 1
21 2 0
15 1 0
5 0 1
21 1 0
25 0 1
18 1 0
18 1 0
9 0 0
15 0 0
26 0 0
5 0 1
10 2 0
26 0 0
17 0 1
8 0 0
11 0 0
12 0 0
16 1 0
21 0 0
14 0 0
14 0 0
21 0 0
9 0 0
9 0 0
20 1 0
11 0 0
28 1 2
17 0 1
17 1 0
21 1 0
19 0 0
3 0 0
21 0 0
21 0 0
18 0 0
15 0 0
18 0 0
20 0 1
14 0 0
17 1 0
23 0 0
10 0 0
9 0 0
16 0 0
17 0 0
14 0 0
21 0 0
12 0 0
20 0 0
13 0 0
9 0 0
25 1 0
24 0 0
18 3 0
11 0 0
17 0 0
21 1 0
21 1 0
8 0 0
11 0 0
9 0 0
9 0 0
22 1 0
23 1 0
17 1 0
8 0 0
11 1 0
18 0 0
8 0 0
11 0 0
5 0 0
22 1 0
6 1 0
8 0 0
11 2 0
20 0 1
22 0 1
21 0 0
17 0 0
21 0 1
12 0 0
19 0 0
11 0 0
14 0 0
11 0 0
10 0 0
15 1 0
14 2 0
9 0 0
10 1 2
19 0 0
19 1 0
20 0 0
9 0 0
17 0 0
18 0 0
14 0 0
3 0 0
23 1 0
13 0 2
17 1 0
9 0 0
15 0 0
15 1 0
19 0 1
11 0 0
20 0 0
18 2 0
25 0 0
12 0 0
15 2 0
18 1 0
11 0 0
