Title total_words total_positive_words total_negative_words Tweets_num
beer_w1w2_1Mon_LA 25695 537 339 1789
beer_w1w2_2Tue_LA 28019 647 365 1978
beer_w1w2_3Wed_LA 33365 748 436 2340
beer_w1w2_4Thu_LA 33214 692 428 2364
beer_w1w2_5Fri_LA 38072 783 428 2724
beer_w1w2_6Sat_LA 45226 852 476 3318
beer_w1w2_7Sun_LA 38563 682 442 2848
coffee_w1w2_1Mon_LA 37899 1096 629 2486
coffee_w1w2_2Tue_LA 43480 1267 755 2808
coffee_w1w2_3Wed_LA 42966 1205 711 2798
coffee_w1w2_4Thu_LA 43318 1323 766 2843
coffee_w1w2_5Fri_LA 46309 1195 1266 3138
coffee_w1w2_6Sat_LA 33887 925 658 2257
coffee_w1w2_7Sun_LA 27403 728 490 1813
COLA_COKE_w1w2_1Mon_LA 3176 97 69 214
COLA_COKE_w1w2_2Tue_LA 4123 122 81 282
COLA_COKE_w1w2_3Wed_LA 5367 163 131 365
COLA_COKE_w1w2_4Thu_LA 5756 154 90 378
COLA_COKE_w1w2_5Fri_LA 6240 165 136 418
COLA_COKE_w1w2_6Sat_LA 5443 182 145 380
COLA_COKE_w1w2_7Sun_LA 3593 106 83 250
juice_w1w2_1Mon_LA 8573 256 157 621
juice_w1w2_2Tue_LA 9066 257 167 653
juice_w1w2_3Wed_LA 10300 285 206 717
juice_w1w2_4Thu_LA 9994 260 226 718
juice_w1w2_5Fri_LA 10357 293 187 739
juice_w1w2_6Sat_LA 9154 243 160 640
juice_w1w2_7Sun_LA 8100 249 171 590
tea_w1w2_1Mon_LA 16620 509 291 1140
tea_w1w2_2Tue_LA 20507 633 386 1413
tea_w1w2_3Wed_LA 20503 688 340 1369
tea_w1w2_4Thu_LA 19035 645 320 1301
tea_w1w2_5Fri_LA 18578 538 340 1257
tea_w1w2_6Sat_LA 15349 464 267 1047
tea_w1w2_7Sun_LA 15498 424 285 1057
water_w1w2_1Mon_LA 47103 1218 1089 2893
water_w1w2_2Tue_LA 58295 1571 1283 3594
water_w1w2_3Wed_LA 66840 1814 1567 4134
water_w1w2_4Thu_LA 74019 2205 1517 4499
water_w1w2_5Fri_LA 74019 2205 1517 4499
water_w1w2_6Sat_LA 46386 1277 1041 2964
water_w1w2_7Sun_LA 41700 1144 1004 2662
wine_w1w2_1Mon_LA 20138 595 308 1302
wine_w1w2_2Tue_LA 23605 712 289 1535
wine_w1w2_3Wed_LA 25115 726 289 1587
wine_w1w2_4Thu_LA 25950 754 332 1673
wine_w1w2_5Fri_LA 27136 795 360 1748
wine_w1w2_6Sat_LA 21591 631 282 1417
wine_w1w2_7Sun_LA 20095 574 319 1350
