Title total_words total_positive_words total_negative_words Tweets_num
beer_w1w2w3_1Mon_LA 41114 860 500 2868
beer_w1w2w3_2Tue_LA 43777 963 589 3053
beer_w1w2w3_3Wed_LA 49942 1138 655 3499
beer_w1w2w3_4Thu_LA 48844 1056 649 3442
beer_w1w2w3_5Fri_LA 53702 1147 649 3802
beer_w1w2w3_6Sat_LA 76709 1497 776 5641
beer_w1w2w3_7Sun_LA 63731 1163 733 4752
coffee_w1w2w3_1Mon_LA 57317 1678 1038 3787
coffee_w1w2w3_2Tue_LA 63886 1841 1151 4139
coffee_w1w2w3_3Wed_LA 62975 1757 1059 4135
coffee_w1w2w3_4Thu_LA 64553 1905 1138 4212
coffee_w1w2w3_5Fri_LA 64100 1727 1582 4292
coffee_w1w2w3_6Sat_LA 42090 1179 810 2822
coffee_w1w2w3_7Sun_LA 41760 1162 742 2785
COLA_COKE_w1w2w3_1Mon_LA 5999 182 122 407
COLA_COKE_w1w2w3_2Tue_LA 7332 218 159 488
COLA_COKE_w1w2w3_3Wed_LA 8383 245 197 564
COLA_COKE_w1w2w3_4Thu_LA 8799 263 159 578
COLA_COKE_w1w2w3_5Fri_LA 9112 251 203 615
COLA_COKE_w1w2w3_6Sat_LA 8435 281 206 571
COLA_COKE_w1w2w3_7Sun_LA 5822 170 132 400
juice_w1w2w3_1Mon_LA 12990 384 267 926
juice_w1w2w3_2Tue_LA 13780 388 270 1008
juice_w1w2w3_3Wed_LA 14854 412 295 1052
juice_w1w2w3_4Thu_LA 14707 400 319 1047
juice_w1w2w3_5Fri_LA 15649 455 290 1108
juice_w1w2w3_6Sat_LA 13348 355 243 955
juice_w1w2w3_7Sun_LA 12524 384 263 907
tea_w1w2w3_1Mon_LA 25995 788 473 1786
tea_w1w2w3_2Tue_LA 29639 913 551 2053
tea_w1w2w3_3Wed_LA 30012 996 510 2016
tea_w1w2w3_4Thu_LA 28913 957 500 1964
tea_w1w2w3_5Fri_LA 28456 850 520 1920
tea_w1w2w3_6Sat_LA 23552 718 419 1612
tea_w1w2w3_7Sun_LA 22981 657 420 1586
water_w1w2w3_1Mon_LA 74097 1979 1647 4557
water_w1w2w3_2Tue_LA 87543 2339 1912 5435
water_w1w2w3_3Wed_LA 97537 2642 2163 5999
water_w1w2w3_4Thu_LA 106334 3061 2188 6443
water_w1w2w3_5Fri_LA 101390 2982 2074 6184
water_w1w2w3_6Sat_LA 70982 1935 1565 4501
water_w1w2w3_7Sun_LA 68197 1886 1595 4342
wine_w1w2w3_1Mon_LA 30735 931 487 1990
wine_w1w2w3_2Tue_LA 34483 1022 415 2241
wine_w1w2w3_3Wed_LA 36470 1092 432 2317
wine_w1w2w3_4Thu_LA 38403 1109 473 2464
wine_w1w2w3_5Fri_LA 39216 1119 512 2521
wine_w1w2w3_6Sat_LA 32506 946 424 2152
wine_w1w2w3_7Sun_LA 29531 860 441 1988
