Title total_words total_positive_words total_negative_words Tweets_num
beer_w1w2w3w4_1Mon_LA 56182 1239 720 3912
beer_w1w2w3w4_2Tue_LA 57574 1281 802 4009
beer_w1w2w3w4_3Wed_LA 64639 1492 861 4528
beer_w1w2w3w4_4Thu_LA 63502 1392 822 4440
beer_w1w2w3w4_5Fri_LA 72879 1578 858 5161
beer_w1w2w3w4_6Sat_LA 95886 1928 985 7000
beer_w1w2w3w4_7Sun_LA 83184 1557 954 6194
coffee_w1w2w3w4_1Mon_LA 76863 2271 1416 5081
coffee_w1w2w3w4_2Tue_LA 82411 2389 1479 5373
coffee_w1w2w3w4_3Wed_LA 83281 2379 1391 5423
coffee_w1w2w3w4_4Thu_LA 84438 2501 1478 5520
coffee_w1w2w3w4_5Fri_LA 81928 2234 1874 5462
coffee_w1w2w3w4_6Sat_LA 64040 1763 1238 4208
coffee_w1w2w3w4_7Sun_LA 65405 1789 1210 4282
COLA_COKE_w1w2w3w4_1Mon_LA 8858 268 208 586
COLA_COKE_w1w2w3w4_2Tue_LA 9926 282 212 656
COLA_COKE_w1w2w3w4_3Wed_LA 11182 328 265 749
COLA_COKE_w1w2w3w4_4Thu_LA 11953 347 243 780
COLA_COKE_w1w2w3w4_5Fri_LA 11832 321 252 794
COLA_COKE_w1w2w3w4_6Sat_LA 11331 351 260 776
COLA_COKE_w1w2w3w4_7Sun_LA 8329 239 190 565
juice_w1w2w3w4_1Mon_LA 17638 507 368 1266
juice_w1w2w3w4_2Tue_LA 18452 526 356 1344
juice_w1w2w3w4_3Wed_LA 19798 555 389 1403
juice_w1w2w3w4_4Thu_LA 21606 549 407 1526
juice_w1w2w3w4_5Fri_LA 21105 601 385 1492
juice_w1w2w3w4_6Sat_LA 18201 482 338 1285
juice_w1w2w3w4_7Sun_LA 16475 499 330 1193
tea_w1w2w3w4_1Mon_LA 35106 1039 642 2412
tea_w1w2w3w4_2Tue_LA 39210 1201 734 2719
tea_w1w2w3w4_3Wed_LA 40031 1306 701 2680
tea_w1w2w3w4_4Thu_LA 39943 1266 707 2742
tea_w1w2w3w4_5Fri_LA 38957 1205 715 2621
tea_w1w2w3w4_6Sat_LA 31979 944 580 2182
tea_w1w2w3w4_7Sun_LA 31338 911 596 2156
water_w1w2w3w4_1Mon_LA 103075 2841 2255 6344
water_w1w2w3w4_2Tue_LA 123686 3402 2693 7677
water_w1w2w3w4_3Wed_LA 131497 3515 2868 8093
water_w1w2w3w4_4Thu_LA 137368 3857 2789 8353
water_w1w2w3w4_5Fri_LA 130591 3812 2672 7953
water_w1w2w3w4_6Sat_LA 97365 2679 2129 6138
water_w1w2w3w4_7Sun_LA 90651 2525 2087 5756
wine_w1w2w3w4_1Mon_LA 41020 1283 623 2651
wine_w1w2w3w4_2Tue_LA 45624 1379 565 2995
wine_w1w2w3w4_3Wed_LA 48995 1458 556 3116
wine_w1w2w3w4_4Thu_LA 50369 1430 602 3224
wine_w1w2w3w4_5Fri_LA 52091 1470 687 3352
wine_w1w2w3w4_6Sat_LA 43551 1295 622 2873
wine_w1w2w3w4_7Sun_LA 38735 1129 594 2604
