Title total_words total_positive_words total_negative_words Tweets_num
beer_0402Mon_LA 15419 323 161 1079
beer_0403Tue_LA 15758 316 224 1075
beer_0404Wed_LA 16577 390 219 1159
beer_0405Thu_LA 15630 364 221 1078
beer_0406Fri_LA 17370 379 226 1212
beer_0407Sat_LA 31483 645 300 2323
beer_0408Sun_LA 25168 481 291 1904
coffee_0402Mon_LA 19418 582 409 1301
coffee_0403Tue_LA 20406 574 396 1331
coffee_0404Wed_LA 20009 552 348 1337
coffee_0405Thu_LA 21235 582 372 1369
coffee_0406Fri_LA 17791 532 316 1154
coffee_0407Sat_LA 8203 254 152 565
coffee_0408Sun_LA 14357 434 252 972
COLA_COKE_0402Mon_LA 2823 85 53 193
COLA_COKE_0403Tue_LA 3209 96 78 206
COLA_COKE_0404Wed_LA 3016 82 66 199
COLA_COKE_0405Thu_LA 3043 109 69 200
COLA_COKE_0406Fri_LA 2872 86 67 197
COLA_COKE_0407Sat_LA 2992 99 61 191
COLA_COKE_0408Sun_LA 2229 64 49 150
juice_0402Mon_LA 4417 128 110 305
juice_0403Tue_LA 4714 131 103 355
juice_0404Wed_LA 4554 127 89 335
juice_0405Thu_LA 4713 140 93 329
juice_0406Fri_LA 5292 162 103 369
juice_0407Sat_LA 4194 112 83 315
juice_0408Sun_LA 4424 135 92 317
tea_0402Mon_LA 9375 279 182 646
tea_0403Tue_LA 9132 280 165 640
tea_0404Wed_LA 9509 308 170 647
tea_0405Thu_LA 9878 312 180 663
tea_0406Fri_LA 9115 324 188 622
tea_0407Sat_LA 8203 254 152 565
tea_0408Sun_LA 7483 233 135 529
water_0402Mon_LA 26994 761 558 1664
water_0403Tue_LA 29248 768 629 1841
water_0404Wed_LA 30697 828 596 1865
water_0405Thu_LA 32315 856 671 1944
water_0406Fri_LA 27371 777 557 1685
water_0407Sat_LA 24596 658 524 1537
water_0408Sun_LA 26497 742 591 1680
wine_0402Mon_LA 10597 336 179 688
wine_0403Tue_LA 10878 310 126 706
wine_0404Wed_LA 11355 366 143 730
wine_0405Thu_LA 12453 355 141 791
wine_0406Fri_LA 12080 324 152 773
wine_0407Sat_LA 10915 315 142 735
wine_0408Sun_LA 9436 286 122 638
