Title total_words total_positive_words total_negative_words Tweets_num
beer_w1w2_1Mon_NY 41513 904 431 2833
beer_w1w2_2Tue_NY 53275 1125 618 3677
beer_w1w2_3Wed_NY 63966 1334 702 4394
beer_w1w2_4Thu_NY 65309 1313 603 4588
beer_w1w2_5Fri_NY 78008 1324 634 5605
beer_w1w2_6Sat_NY 103795 1493 674 7805
beer_w1w2_7Sun_NY 75397 1137 617 5559
coffee_w1w2_1Mon_NY 68338 2149 1154 4464
coffee_w1w2_2Tue_NY 69740 2094 1233 4540
coffee_w1w2_3Wed_NY 74820 2105 1172 4734
coffee_w1w2_4Thu_NY 68566 1967 1229 4407
coffee_w1w2_5Fri_NY 77372 2161 2125 5066
coffee_w1w2_6Sat_NY 54896 1544 1039 3587
coffee_w1w2_7Sun_NY 46286 1301 777 2997
COLA_COKE_w1w2_1Mon_NY 10884 270 244 708
COLA_COKE_w1w2_2Tue_NY 10566 268 216 699
COLA_COKE_w1w2_3Wed_NY 10182 257 193 701
COLA_COKE_w1w2_4Thu_NY 9834 270 199 664
COLA_COKE_w1w2_5Fri_NY 10801 285 218 744
COLA_COKE_w1w2_6Sat_NY 8751 233 183 592
COLA_COKE_w1w2_7Sun_NY 8685 212 197 601
juice_w1w2_1Mon_NY 12882 392 263 916
juice_w1w2_2Tue_NY 16701 442 312 1174
juice_w1w2_3Wed_NY 16701 442 312 1174
juice_w1w2_4Thu_NY 17245 463 340 1210
juice_w1w2_5Fri_NY 16572 472 336 1169
juice_w1w2_6Sat_NY 13862 389 297 1004
juice_w1w2_7Sun_NY 13460 376 275 952
tea_w1w2_1Mon_NY 37572 1090 711 2522
tea_w1w2_2Tue_NY 36351 1088 699 2463
tea_w1w2_3Wed_NY 38175 1171 680 2563
tea_w1w2_4Thu_NY 34808 1062 610 2427
tea_w1w2_5Fri_NY 32814 928 614 2265
tea_w1w2_6Sat_NY 26569 849 435 1866
tea_w1w2_7Sun_NY 28267 898 524 1957
water_w1w2_1Mon_NY 90095 2324 1987 5601
water_w1w2_2Tue_NY 105678 3084 2307 6544
water_w1w2_3Wed_NY 102899 2733 2173 6325
water_w1w2_4Thu_NY 131472 3913 2611 8029
water_w1w2_5Fri_NY 102237 2787 2202 6364
water_w1w2_6Sat_NY 77614 2127 1747 4908
water_w1w2_7Sun_NY 77050 2095 1688 4848
wine_w1w2_1Mon_NY 31725 886 471 2070
wine_w1w2_2Tue_NY 40403 1107 543 2601
wine_w1w2_3Wed_NY 45824 1386 626 2953
wine_w1w2_4Thu_NY 42285 1262 522 2785
wine_w1w2_5Fri_NY 44223 1280 556 2917
wine_w1w2_6Sat_NY 34683 1063 510 2305
wine_w1w2_7Sun_NY 32636 979 534 2188
