Title total_words total_positive_words total_negative_words Tweets_num
beer_w1w2w3_1Mon_NY 65367 1372 755 4493
beer_w1w2w3_2Tue_NY 80075 1678 902 5519
beer_w1w2w3_3Wed_NY 90641 1850 987 6250
beer_w1w2w3_4Thu_NY 95896 1862 870 6746
beer_w1w2w3_5Fri_NY 109441 1925 900 7857
beer_w1w2w3_6Sat_NY 172134 2624 1164 12877
beer_w1w2w3_7Sun_NY 115097 1743 940 8491
coffee_w1w2w3_1Mon_NY 99423 3027 1784 6458
coffee_w1w2w3_2Tue_NY 102269 3097 1821 6658
coffee_w1w2w3_3Wed_NY 108734 3083 1774 6910
coffee_w1w2w3_4Thu_NY 102610 3020 1802 6561
coffee_w1w2w3_5Fri_NY 103338 2944 2539 6740
coffee_w1w2w3_6Sat_NY 81919 2356 1469 5356
coffee_w1w2w3_7Sun_NY 72312 2060 1180 4720
COLA_COKE_w1w2w3_1Mon_NY 16119 400 356 1064
COLA_COKE_w1w2w3_2Tue_NY 15643 399 335 1041
COLA_COKE_w1w2w3_3Wed_NY 15148 380 298 1044
COLA_COKE_w1w2w3_4Thu_NY 13953 394 280 961
COLA_COKE_w1w2w3_5Fri_NY 16912 451 352 1149
COLA_COKE_w1w2w3_6Sat_NY 13118 349 274 887
COLA_COKE_w1w2w3_7Sun_NY 12116 318 282 857
juice_w1w2w3_1Mon_NY 20028 607 401 1413
juice_w1w2w3_2Tue_NY 24634 658 468 1727
juice_w1w2w3_3Wed_NY 25169 640 506 1772
juice_w1w2w3_4Thu_NY 25514 681 489 1782
juice_w1w2w3_5Fri_NY 24227 691 491 1702
juice_w1w2w3_6Sat_NY 20958 582 469 1493
juice_w1w2w3_7Sun_NY 20347 567 413 1444
tea_w1w2w3_1Mon_NY 54430 1581 1036 3665
tea_w1w2w3_2Tue_NY 54275 1663 1004 3697
tea_w1w2w3_3Wed_NY 55966 1685 1002 3785
tea_w1w2w3_4Thu_NY 51466 1587 887 3569
tea_w1w2w3_5Fri_NY 47484 1366 887 3275
tea_w1w2w3_6Sat_NY 40459 1295 730 2825
tea_w1w2w3_7Sun_NY 42894 1359 812 2949
water_w1w2w3_1Mon_NY 135505 3502 2942 8455
water_w1w2w3_2Tue_NY 155005 4434 3416 9594
water_w1w2w3_3Wed_NY 149730 3987 3187 9258
water_w1w2w3_4Thu_NY 183469 5293 3740 11207
water_w1w2w3_5Fri_NY 142706 3826 3091 8846
water_w1w2w3_6Sat_NY 117018 3221 2610 7362
water_w1w2w3_7Sun_NY 120287 3390 2655 7505
wine_w1w2w3_1Mon_NY 50004 1393 746 3277
wine_w1w2w3_2Tue_NY 58056 1632 769 3762
wine_w1w2w3_3Wed_NY 65981 2000 893 4238
wine_w1w2w3_4Thu_NY 60290 1797 769 3947
wine_w1w2w3_5Fri_NY 61976 1825 802 4067
wine_w1w2w3_6Sat_NY 51421 1547 754 3436
wine_w1w2w3_7Sun_NY 47875 1416 781 3206
