Title total_words total_positive_words total_negative_words Tweets_num
beer_w1w2w3w4_1Mon_NY 88600 1867 998 6110
beer_w1w2w3w4_2Tue_NY 104879 2173 1198 7219
beer_w1w2w3w4_3Wed_NY 117046 2361 1256 8061
beer_w1w2w3w4_4Thu_NY 125750 2415 1156 8841
beer_w1w2w3w4_5Fri_NY 149331 2780 1219 10681
beer_w1w2w3w4_6Sat_NY 222334 3408 1529 16617
beer_w1w2w3w4_7Sun_NY 151426 2313 1208 11207
coffee_w1w2w3w4_1Mon_NY 131210 3952 2426 8545
coffee_w1w2w3w4_2Tue_NY 135579 4137 2399 8827
coffee_w1w2w3w4_3Wed_NY 142893 4134 2316 9091
coffee_w1w2w3w4_4Thu_NY 145089 4619 2435 9400
coffee_w1w2w3w4_5Fri_NY 135640 4002 3100 8791
coffee_w1w2w3w4_6Sat_NY 119955 3439 2233 7775
coffee_w1w2w3w4_7Sun_NY 116375 3224 2198 7450
COLA_COKE_w1w2w3w4_1Mon_NY 20758 526 467 1382
COLA_COKE_w1w2w3w4_2Tue_NY 19961 508 423 1337
COLA_COKE_w1w2w3w4_3Wed_NY 19779 518 391 1363
COLA_COKE_w1w2w3w4_4Thu_NY 20125 575 406 1366
COLA_COKE_w1w2w3w4_5Fri_NY 22330 602 469 1515
COLA_COKE_w1w2w3w4_6Sat_NY 17873 467 385 1217
COLA_COKE_w1w2w3w4_7Sun_NY 16172 411 384 1144
juice_w1w2w3w4_1Mon_NY 27939 847 556 1970
juice_w1w2w3w4_2Tue_NY 31905 852 635 2248
juice_w1w2w3w4_3Wed_NY 32910 827 662 2326
juice_w1w2w3w4_4Thu_NY 34358 915 681 2415
juice_w1w2w3w4_5Fri_NY 31933 904 642 2250
juice_w1w2w3w4_6Sat_NY 27210 760 588 1953
juice_w1w2w3w4_7Sun_NY 26592 747 530 1880
tea_w1w2w3w4_1Mon_NY 71324 2119 1333 4822
tea_w1w2w3w4_2Tue_NY 72602 2205 1290 4902
tea_w1w2w3w4_3Wed_NY 73453 2192 1315 4949
tea_w1w2w3w4_4Thu_NY 73121 2190 1338 5131
tea_w1w2w3w4_5Fri_NY 63372 1804 1204 4371
tea_w1w2w3w4_6Sat_NY 53948 1685 954 3777
tea_w1w2w3w4_7Sun_NY 59613 1813 1109 4104
water_w1w2w3w4_1Mon_NY 184722 4937 3995 11510
water_w1w2w3w4_2Tue_NY 205726 5807 4483 12704
water_w1w2w3w4_3Wed_NY 202108 5389 4422 12487
water_w1w2w3w4_4Thu_NY 232369 6514 4767 14260
water_w1w2w3w4_5Fri_NY 191886 5187 4103 11891
water_w1w2w3w4_6Sat_NY 158811 4443 3494 9990
water_w1w2w3w4_7Sun_NY 158490 4396 3453 9865
wine_w1w2w3w4_1Mon_NY 66147 1926 966 4322
wine_w1w2w3w4_2Tue_NY 76517 2169 1024 4970
wine_w1w2w3w4_3Wed_NY 84606 2558 1126 5444
wine_w1w2w3w4_4Thu_NY 79923 2323 1030 5235
wine_w1w2w3w4_5Fri_NY 85024 2493 1136 5569
wine_w1w2w3w4_6Sat_NY 68781 2057 975 4562
wine_w1w2w3w4_7Sun_NY 62634 1864 1026 4222
