Title total_words total_positive_words total_negative_words Tweets_num
beer_0326Mon_newyork 25135 544 275 1733
beer_0327Tue_newyork 26921 557 378 1856
beer_0328Wed_NY 32565 700 428 2240
beer_0329Thu_NY 35423 714 326 2482
beer_0330Fri_NY 40375 659 324 2918
beer_0331Sat_NY 49480 722 349 3704
beer_0401Sun_NY 35151 550 300 2571
coffee_0326Mon_newyork 33042 1024 576 2175
coffee_0327Tue_newyork 33390 1027 556 2179
coffee_0328Wed_NY 34582 972 570 2196
coffee_0329Thu_NY 33055 974 608 2121
coffee_0330Fri_NY 43469 1106 1570 2879
coffee_0331Sat_NY 28140 766 627 1843
coffee_0401Sun_NY 21134 574 386 1377
tea_0326Mon_newyork 19003 525 385 1260
tea_0327Thu_newyork 18042 573 335 1217
tea_0328Wed_NY 18894 566 356 1267
tea_0329Thu_NY 16713 538 278 1183
tea_0330Fri_NY 15391 419 266 1065
tea_0331Sat_NY 13256 430 225 936
tea_0401Sun_NY 12222 388 218 870
juice_0326Mon_newyork 8715 275 193 616
juice_0327Tue_newyork 7826 194 142 542
juice_0328Wed_NY 8334 242 164 593
juice_0329Thu_NY 8262 214 162 589
juice_0330Fri_NY 7781 207 146 560
juice_0331Sat_NY 6780 219 149 493
juice_0401Sun_NY 6554 198 119 467
COLA_COKE_0326Mon_NY 6684 152 166 422
COLA_COKE_0327Tue_NY 5421 133 109 347
COLA_COKE_0328Wed_NY 5107 131 94 354
COLA_COKE_0329Thu_NY 5010 134 105 346
COLA_COKE_0330Fri_NY 5844 164 117 409
COLA_COKE_0331Sat_NY 4637 124 105 310
COLA_COKE_0401Sun_NY 4327 98 84 297
water_0326Mon_newyork 48022 1263 1092 3001
water_0327Tue_newyork 48769 1334 1109 3034
water_0328Wed_NY 49388 1292 1099 3039
water_0329Thu_NY 47520 1301 1008 2932
water_0330Fri_NY 46901 1243 1014 2918
water_0331Sat_NY 36964 1032 802 2320
water_0401Sun_NY 36570 1004 785 2283
wine_0326Mon_newyork 17833 495 301 1170
wine_0327Tue_newyork 19634 544 252 1279
wine_0328Wed_NY 19847 572 274 1265
wine_0329Thu_NY 19850 614 262 1308
wine_0330Fri_NY 21859 656 291 1450
wine_0331Sat_NY 17722 513 273 1168
wine_0401Sun_NY 16651 501 291 1121
