V1 V2 V3
15 0 0
15 0 0
15 0 0
15 0 0
19 1 0
17 2 0
15 0 0
22 1 1
11 0 0
20 1 1
19 0 0
6 0 0
20 4 0
20 1 0
20 0 0
19 0 1
14 0 0
14 0 0
26 1 2
11 0 1
15 0 0
16 0 0
17 1 1
17 2 0
7 1 0
22 0 1
4 0 0
21 1 0
17 1 0
18 0 0
15 0 0
12 0 0
8 0 0
8 0 0
14 0 0
21 0 1
11 0 0
15 0 0
5 0 1
17 2 0
13 0 0
9 0 0
17 0 0
10 1 0
24 1 0
20 2 0
20 1 0
21 0 0
19 0 1
16 0 0
20 0 0
15 0 0
15 0 0
12 0 0
5 1 0
21 1 0
18 2 0
17 0 0
14 0 0
15 0 0
17 1 0
14 0 2
24 1 1
18 1 0
11 0 0
12 0 0
10 0 0
20 1 0
25 0 0
15 0 1
6 0 0
22 2 0
18 1 0
24 0 0
11 0 0
4 0 0
7 0 0
13 0 0
24 0 0
20 1 0
14 0 0
22 0 0
22 0 0
20 0 1
11 0 0
19 1 0
