V1 V2 V3
25 1 0
26 0 0
18 2 0
17 2 0
14 0 0
12 0 0
7 0 0
16 2 0
13 0 2
19 0 1
15 0 0
17 1 0
13 0 0
13 0 0
21 0 1
22 1 0
21 0 1
18 0 0
16 0 0
17 0 1
24 0 0
12 0 0
12 0 0
18 1 0
20 0 0
11 0 0
16 0 0
22 2 0
15 0 0
11 0 0
16 0 0
14 0 0
21 0 0
16 0 1
17 0 1
15 0 1
11 0 0
22 1 0
5 1 0
18 0 0
14 1 0
11 0 0
14 0 0
18 0 0
20 0 0
16 0 0
15 0 0
12 0 0
12 0 0
14 0 1
10 0 0
11 0 0
10 0 0
15 0 0
7 0 0
11 0 0
12 0 0
9 0 2
16 1 0
3 0 0
10 1 0
13 0 0
11 0 0
3 0 0
1 0 0
21 1 0
8 1 0
12 0 1
6 0 0
17 1 0
7 1 0
5 1 0
8 1 0
2 0 0
