V1 V2 V3
11 0 0
9 0 0
14 0 0
11 0 0
7 0 0
16 0 0
11 0 0
10 1 0
19 0 0
12 1 1
8 0 0
19 1 0
16 1 0
9 1 0
21 1 2
27 1 0
13 2 0
8 0 0
8 0 0
8 0 1
21 3 0
24 1 0
11 1 0
19 0 0
9 0 1
14 1 0
14 2 0
8 0 0
9 0 1
14 1 0
9 0 0
12 0 0
14 3 1
11 1 1
12 0 0
6 0 0
22 1 2
10 0 0
12 1 0
15 0 0
13 0 0
15 0 0
22 1 0
14 1 0
17 1 0
3 0 0
10 0 0
18 0 0
22 4 0
17 2 0
14 1 0
23 1 0
12 1 0
16 0 0
22 0 0
14 0 0
15 0 1
22 1 0
12 0 0
14 0 2
15 0 0
12 0 0
13 0 0
11 0 1
5 1 0
12 0 0
20 0 1
21 0 0
11 1 0
17 0 0
5 0 0
19 0 0
12 1 0
22 0 0
6 0 0
6 0 0
9 0 0
22 0 0
15 0 0
20 0 0
15 0 0
