V1 V2 V3
10 1 1
17 2 0
19 0 0
19 0 0
16 0 0
7 0 0
12 0 0
15 0 0
20 0 0
9 0 0
19 2 0
21 1 1
13 0 1
9 0 0
19 0 1
22 0 2
10 0 0
9 0 0
22 1 0
22 1 1
23 1 0
17 1 1
22 1 1
24 1 1
6 0 0
15 0 0
19 0 0
9 1 1
16 2 0
14 0 0
11 1 0
15 0 0
10 0 0
19 0 1
20 0 0
20 0 0
16 1 0
20 0 0
22 1 0
17 2 0
17 2 0
15 0 0
15 0 0
24 0 0
16 0 1
12 1 0
14 0 0
10 0 0
14 1 0
13 0 0
12 0 0
17 0 0
12 1 0
14 1 0
14 0 0
12 0 0
5 1 0
6 0 0
12 2 1
16 0 0
17 2 0
13 0 0
15 0 0
15 0 0
15 0 0
15 0 0
14 0 0
17 0 0
18 0 0
17 0 0
8 2 0
16 0 0
14 0 0
17 0 0
14 1 0
16 0 0
13 1 0
18 0 0
9 1 0
17 1 0
16 0 2
24 0 2
6 0 0
